found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out
number of parameters: 10.65M
Applying LoRA (PEFT)...
trainable params before lora: 10696704
trainable params after lora: 18432
/Users/rabiaciftci/Desktop/NLP/A.NLP./nanogpt-lora/nanoGPT/train.py:240: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=use_cuda)
num decayed parameter tensors: 12, with 18,432 parameters
num non-decayed parameter tensors: 0, with 0 parameters
using fused AdamW: False
saving checkpoint to out
iter 2600: loss 0.8802, time 1316.29ms, mfu 0.45%
iter 2610: loss 0.8421, time 175.98ms, mfu 0.45%
iter 2620: loss 0.8808, time 182.87ms, mfu 0.46%
iter 2630: loss 0.7802, time 177.12ms, mfu 0.46%
iter 2640: loss 0.8723, time 177.19ms, mfu 0.46%
iter 2650: loss 0.7595, time 176.67ms, mfu 0.47%
iter 2660: loss 0.7872, time 171.31ms, mfu 0.47%
iter 2670: loss 0.9087, time 171.31ms, mfu 0.48%
iter 2680: loss 0.7849, time 171.89ms, mfu 0.48%
iter 2690: loss 0.9006, time 171.32ms, mfu 0.48%
iter 2700: loss 0.7886, time 171.18ms, mfu 0.49%
iter 2710: loss 0.8749, time 173.00ms, mfu 0.49%
iter 2720: loss 0.9454, time 172.54ms, mfu 0.49%
iter 2730: loss 0.8927, time 173.89ms, mfu 0.49%
iter 2740: loss 0.9226, time 171.26ms, mfu 0.50%
iter 2750: loss 1.0433, time 171.98ms, mfu 0.50%
iter 2760: loss 0.8501, time 174.95ms, mfu 0.50%
iter 2770: loss 1.0048, time 187.63ms, mfu 0.50%
iter 2780: loss 0.8720, time 177.66ms, mfu 0.50%
iter 2790: loss 0.9402, time 175.23ms, mfu 0.50%
[CSV] logged step 2800 for A_r2
step 2800: train loss 0.8635, val loss 0.9043
saving checkpoint to out
iter 2800: loss 0.8187, time 1235.18ms, mfu 0.46%
iter 2810: loss 0.7426, time 175.79ms, mfu 0.46%
iter 2820: loss 0.9378, time 182.75ms, mfu 0.46%
iter 2830: loss 0.7767, time 176.56ms, mfu 0.47%
iter 2840: loss 0.9213, time 181.17ms, mfu 0.47%
iter 2850: loss 0.8537, time 180.66ms, mfu 0.47%
iter 2860: loss 0.8337, time 175.92ms, mfu 0.47%
iter 2870: loss 0.8955, time 173.67ms, mfu 0.48%
iter 2880: loss 0.8207, time 172.01ms, mfu 0.48%
iter 2890: loss 0.8891, time 172.22ms, mfu 0.49%
iter 2900: loss 0.8999, time 170.71ms, mfu 0.49%
iter 2910: loss 0.7601, time 172.92ms, mfu 0.49%
iter 2920: loss 0.7754, time 171.72ms, mfu 0.49%
iter 2930: loss 0.8177, time 168.92ms, mfu 0.50%
iter 2940: loss 0.7622, time 172.21ms, mfu 0.50%
iter 2950: loss 0.7809, time 171.44ms, mfu 0.50%
iter 2960: loss 0.9642, time 170.36ms, mfu 0.50%
iter 2970: loss 0.7457, time 172.75ms, mfu 0.50%
iter 2980: loss 0.7678, time 178.53ms, mfu 0.50%
iter 2990: loss 0.7786, time 175.83ms, mfu 0.50%
[CSV] logged step 3000 for A_r2
step 3000: train loss 0.8498, val loss 0.8888
saving checkpoint to out
iter 3000: loss 0.8658, time 1252.82ms, mfu 0.46%
time: 7,96 min
