Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 2000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 1128: loss 0.5825, time 467.98ms, mfu 0.17%
iter 1129: loss 0.7799, time 461.66ms, mfu 0.17%
step 1130: train loss 0.7531, val loss 0.8862
iter 1130: loss 0.9330, time 985.81ms, mfu 0.16%
iter 1131: loss 0.8477, time 463.88ms, mfu 0.17%
iter 1132: loss 1.0844, time 464.06ms, mfu 0.17%
iter 1133: loss 0.8253, time 509.54ms, mfu 0.17%
iter 1134: loss 0.8459, time 473.88ms, mfu 0.17%
step 1135: train loss 0.7465, val loss 0.8752
iter 1135: loss 0.6373, time 926.72ms, mfu 0.16%
iter 1136: loss 1.0624, time 467.92ms, mfu 0.17%
iter 1137: loss 0.7509, time 464.62ms, mfu 0.17%
iter 1138: loss 0.9838, time 465.76ms, mfu 0.17%
iter 1139: loss 0.7824, time 462.73ms, mfu 0.17%
step 1140: train loss 0.7591, val loss 0.8390
iter 1140: loss 0.6565, time 922.17ms, mfu 0.16%
iter 1141: loss 0.7681, time 471.33ms, mfu 0.17%
iter 1142: loss 0.6824, time 466.57ms, mfu 0.17%
iter 1143: loss 0.6904, time 482.68ms, mfu 0.17%
iter 1144: loss 0.6976, time 484.20ms, mfu 0.17%
step 1145: train loss 0.7125, val loss 0.8600
iter 1145: loss 0.7770, time 989.06ms, mfu 0.16%
iter 1146: loss 0.7158, time 463.37ms, mfu 0.17%
iter 1147: loss 0.5730, time 464.55ms, mfu 0.17%
iter 1148: loss 0.6564, time 466.58ms, mfu 0.17%
iter 1149: loss 0.9592, time 465.53ms, mfu 0.17%
step 1150: train loss 0.7098, val loss 0.8654
iter 1150: loss 1.0083, time 905.02ms, mfu 0.17%
iter 1151: loss 0.9572, time 465.52ms, mfu 0.17%
iter 1152: loss 0.8360, time 463.89ms, mfu 0.17%
iter 1153: loss 0.6050, time 464.25ms, mfu 0.17%
iter 1154: loss 0.9556, time 468.52ms, mfu 0.17%
step 1155: train loss 0.7313, val loss 0.8524
iter 1155: loss 0.7411, time 931.06ms, mfu 0.17%
