Overriding config with config/finetune_shakespeare_sft_A.py:
import time

init_from = 'resume'        
out_dir = 'out-shakespeare-sft_A'  
dataset = 'shakespeare_char_sft_A'  



eval_interval = 5
eval_iters = 40
wandb_log = False # feel free to turn on
wandb_project = 'shakespeare'
wandb_run_name = 'ft-' + str(time.time())

# only save checkpoints if the validation loss improves
always_save_checkpoint = False
block_size = 128


# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 1
gradient_accumulation_steps = 32
# max_iters = 20

# finetune at constant LR
# learning_rate = 3e-5
decay_lr = False
compile = False

max_iters = 3000            
learning_rate = 1e-4
device = "mps"

block_size = 128 # from pretraining
tokens per iteration will be: 4,096
found vocab_size = 67 (inside data/shakespeare_char_sft_A/meta.pkl)
Resuming training from out-shakespeare-sft_A
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,691,712 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 1258: loss 0.7804, time 465.79ms, mfu 0.17%
iter 1259: loss 0.4513, time 477.34ms, mfu 0.18%
step 1260: train loss 0.6894, val loss 0.8911
iter 1260: loss 0.5737, time 1101.27ms, mfu 0.17%
iter 1261: loss 0.6474, time 462.54ms, mfu 0.17%
iter 1262: loss 0.5163, time 476.17ms, mfu 0.17%
iter 1263: loss 1.0383, time 465.76ms, mfu 0.17%
iter 1264: loss 0.5830, time 527.88ms, mfu 0.17%
step 1265: train loss 0.6629, val loss 0.8420
iter 1265: loss 0.8327, time 998.37ms, mfu 0.16%
iter 1266: loss 0.3373, time 483.87ms, mfu 0.17%
iter 1267: loss 0.6460, time 478.08ms, mfu 0.17%
iter 1268: loss 0.6682, time 469.31ms, mfu 0.17%
iter 1269: loss 0.7898, time 469.37ms, mfu 0.17%
step 1270: train loss 0.6570, val loss 0.8358
iter 1270: loss 0.4657, time 941.02ms, mfu 0.16%
iter 1271: loss 0.6135, time 481.89ms, mfu 0.17%
iter 1272: loss 0.8511, time 470.90ms, mfu 0.17%
iter 1273: loss 0.4723, time 464.88ms, mfu 0.17%
iter 1274: loss 0.7258, time 465.03ms, mfu 0.17%
step 1275: train loss 0.6476, val loss 0.9060
iter 1275: loss 0.7665, time 902.87ms, mfu 0.16%
iter 1276: loss 0.6457, time 469.43ms, mfu 0.17%
iter 1277: loss 0.7305, time 510.88ms, mfu 0.17%
iter 1278: loss 0.7775, time 491.43ms, mfu 0.17%
iter 1279: loss 0.6531, time 492.33ms, mfu 0.17%
step 1280: train loss 0.6815, val loss 0.9224
iter 1280: loss 0.4631, time 964.56ms, mfu 0.16%
iter 1281: loss 0.7482, time 469.16ms, mfu 0.16%
iter 1282: loss 0.6346, time 472.76ms, mfu 0.17%
iter 1283: loss 0.5309, time 471.02ms, mfu 0.17%
iter 1284: loss 0.4625, time 467.64ms, mfu 0.17%
step 1285: train loss 0.6571, val loss 0.8756
iter 1285: loss 0.6349, time 1042.75ms, mfu 0.16%
iter 1286: loss 0.5795, time 475.80ms, mfu 0.16%
iter 1287: loss 0.5314, time 467.31ms, mfu 0.17%
iter 1288: loss 0.8856, time 470.49ms, mfu 0.17%
iter 1289: loss 0.7311, time 469.84ms, mfu 0.17%
step 1290: train loss 0.6651, val loss 0.8445
